s2_over_s1,s2,WF_p2_first,WF_Wilson95_low,WF_Wilson95_high,average_rate_independent,Martin2024_burst_aware_independent,joint_killed_Markov,abs_error_average_rate,abs_error_burst_aware,abs_error_joint
2,0.01,0.044,0.03294,0.05855,0.057648733581252,0.047226502098996,0.0397001970844079,0.013648733581252,0.003226502098996005,0.004299802915592
4,0.02,0.052,0.03987,0.06756,0.1080459479544329,0.06726960731304489,0.0479030574526657,0.0560459479544329,0.015269607313044893,0.0040969425473342
8,0.04,0.065,0.05132,0.08201,0.1919310999146508,0.08746459940044177,0.0534288695434666,0.1269310999146508,0.022464599400441765,0.0115711304565333
16,0.08,0.081,0.06565,0.09956,0.3135522912856597,0.1077482277289561,0.056699653274461,0.2325522912856597,0.026748227728956103,0.0243003467255389
32,0.16,0.068,0.05399,0.08531,0.4582921095900362,0.13094232837761435,0.0584852161480309,0.3902921095900362,0.06294232837761435,0.009514783851969
64,0.32,0.081,0.06565,0.09956,0.5935529593848667,0.15968396347207256,0.0594091454380122,0.5125529593848668,0.07868396347207256,0.0215908545619877
